flowStartMilliseconds,flowDurationMilliseconds,sourceIPAddress,destinationIPAddress,protocolIdentifier,packetTotalCount
1438318803255,0,201.126.50.225,191.78.40.46,1,1
1438318803255,0,201.126.60.251,20.213.44.78,6,1
1438318803255,0,104.240.78.203,201.126.50.225,1,1
1438318803255,0,201.126.50.225,205.179.149.155,1,1
1438318803255,0,201.126.50.225,72.186.113.24,1,1
1438318803255,0,201.126.50.225,161.92.247.7,1,1
1438318803255,0,201.126.50.225,42.199.146.52,1,1
1438318803255,0,201.126.50.225,173.117.32.55,1,1
1438318803255,0,201.126.50.225,93.41.63.111,1,1
1438318803255,0,201.126.50.225,102.12.252.115,1,1
1438318803255,0,210.223.55.24,201.126.50.225,1,1
1438318803255,0,163.148.88.165,145.187.150.58,6,1
1438318803255,0,163.148.88.173,145.187.150.58,6,1
1438318803255,0,201.126.50.225,66.172.174.134,1,1
1438318803255,0,201.126.50.225,84.63.108.76,1,1
1438318803256,0,201.126.50.225,51.126.6.3,1,1
1438318803256,0,201.126.50.225,105.198.35.63,1,1
1438318803256,0,201.126.50.225,170.152.217.163,1,1
1438318803256,0,201.126.50.225,117.242.249.65,1,1
1438318803256,0,201.126.50.225,171.59.35.120,1,1
1438318803256,0,201.126.50.225,202.205.221.223,1,1
1438318803256,0,201.126.50.225,103.59.30.100,1,1
1438318803256,0,201.126.50.225,142.171.164.200,1,1
1438318803256,0,201.126.50.225,84.72.6.27,1,1
1438318803256,0,201.126.50.225,95.190.41.57,1,1
1438318803256,0,3.29.139.18,201.126.33.80,1,1
1438318803256,0,15.142.229.187,134.138.68.235,6,1
1438318803256,0,107.62.91.107,145.182.64.166,6,1
1438318803256,0,56.214.215.3,201.126.50.225,1,1
1438318803256,0,65.85.130.104,201.126.50.225,1,1
1438318803256,0,203.12.193.12,197.69.205.88,6,1
1438318803256,0,127.179.25.213,201.126.50.225,1,1
1438318803256,0,216.151.178.231,201.126.50.225,1,1
1438318803256,0,150.173.247.46,15.78.197.185,6,1
1438318803257,0,17.57.143.148,134.138.65.182,17,1
1438318803257,0,120.218.94.115,145.182.94.246,6,1
1438318803257,0,77.235.229.6,134.138.124.46,17,1
1438318803257,0,223.186.10.76,201.126.50.225,1,1
1438318803257,0,150.173.203.247,15.167.176.198,6,1
1438318803257,0,184.134.240.228,201.126.50.225,1,1
1438318803257,0,201.126.50.225,89.214.125.44,1,1
1438318803257,0,201.126.50.225,11.22.27.219,1,1
1438318803257,0,201.126.50.225,147.16.213.197,1,1
1438318803257,0,201.126.50.225,71.75.171.242,1,1
1438318803257,0,72.188.194.134,201.126.50.225,1,1
1438318803257,0,13b5:5fb:e1bc:4f5c:7983:99a8:c82:8656,1e12:4c65:fc57:b30:4fd4:9b3c:154e:d0ac,17,1
1438318803257,0,201.126.50.225,184.142.2.184,1,1
1438318803257,0,201.126.50.225,41.254.186.31,1,1
1438318803257,0,201.126.50.225,184.150.118.178,1,1
1438318803257,0,201.126.50.225,32.246.221.149,1,1
1438318803257,0,201.126.50.225,79.184.254.251,1,1
1438318803257,0,41.201.23.3,201.126.50.225,1,1
1438318803257,0,201.126.50.225,162.61.75.137,1,1
1438318803257,0,201.126.50.225,110.156.35.40,1,1
1438318803257,0,201.126.50.225,1.150.106.123,1,1
1438318803257,0,9.250.75.202,201.126.50.225,1,1
1438318803257,0,201.126.50.225,94.96.134.228,1,1
1438318803257,0,201.126.50.225,169.13.38.55,1,1
1438318803257,0,201.126.50.225,185.90.10.227,1,1
1438318803257,0,201.126.50.225,23.78.36.230,1,1
1438318803257,0,134.215.207.1,102.47.169.66,1,1
1438318803257,0,134.215.50.142,174.101.27.105,1,1
1438318803257,0,201.126.50.225,98.194.127.151,1,1
1438318803257,0,201.126.50.225,215.198.1.106,1,1
1438318803257,0,220.115.81.214,200.55.0.6,1,1
1438318803257,0,201.126.50.225,78.59.74.28,1,1
1438318803257,0,32.74.25.167,201.126.50.225,1,1
1438318803257,0,74.62.62.101,145.182.78.203,6,1
1438318803258,0,173.166.218.227,201.126.50.225,1,1
1438318803258,0,201.126.50.225,191.97.175.92,1,1
1438318803258,0,201.126.50.225,87.161.183.123,1,1
1438318803258,0,201.126.50.225,214.4.121.212,1,1
1438318803258,0,150.173.150.77,15.180.13.46,6,1
1438318803258,0,201.126.50.225,2.89.89.175,1,1
1438318803258,0,201.126.50.225,211.176.97.158,1,1
1438318803258,0,95.148.194.185,201.126.50.225,1,1
1438318803258,0,103.25.53.67,182.55.158.87,6,1
1438318803258,0,201.126.50.225,101.102.199.97,1,1
1438318803258,0,201.126.50.225,121.41.129.66,1,1
1438318803258,0,201.126.50.225,164.153.168.224,1,1
1438318803253,5,150.173.150.79,32.90.78.161,6,6
1438318803259,0,27.107.29.207,145.182.67.186,17,1
1438318803259,0,98.126.85.188,145.182.64.207,17,1
1438318803259,0,185.230.202.197,201.126.46.83,6,1
1438318803259,0,70.161.178.86,201.126.50.225,1,1
1438318803259,0,103.25.53.67,182.55.158.23,6,1
1438318803259,0,167.129.227.5,201.126.50.225,1,1
1438318803259,0,19.153.179.214,201.126.50.225,1,1
1438318803259,0,64.166.202.31,201.126.50.225,1,1
1438318803259,0,198.104.248.32,145.187.228.226,6,1
1438318803259,0,16.181.63.203,145.182.87.213,6,1
1438318803259,0,201.126.50.225,68.213.228.107,1,1
